Herd,id,season_yr,distance,comparison,dyadID
Fogo,FO2016012,2017,10355.86224,conspecific,FO2016012-FO2017011
Fogo,FO2016012,2017,2132.120611,conspecific,FO2016012-FO2017003
Fogo,FO2016012,2017,6616.392699,conspecific,FO2016012-FO2016015
Fogo,FO2016012,2017,1639.284901,conspecific,FO2016012-FO2017007
Fogo,FO2016012,2017,11896.12163,conspecific,FO2016012-FO2017004
Fogo,FO2016012,2017,6917.217759,conspecific,FO2016012-FO2017009
Fogo,FO2016012,2017,15168.81987,conspecific,FO2016012-FO2017014
Fogo,FO2016012,2017,5466.954467,conspecific,FO2016012-FO2017006
Fogo,FO2016012,2017,16033.22916,conspecific,FO2016012-FO2017001
Fogo,FO2016012,2017,16495.2651,conspecific,FO2016012-FO2017013
Fogo,FO2016012,2017,5534.043139,conspecific,FO2016012-FO2016013
Fogo,FO2016012,2017,17144.76979,conspecific,FO2016012-FO2017012
Fogo,FO2016012,2017,3761.488933,conspecific,FO2016012-FO2017008
Fogo,FO2016013,2017,3805.578865,conspecific,FO2016013-FO2016014
Fogo,FO2016013,2017,10093.7772,conspecific,FO2016013-FO2017011
Fogo,FO2016013,2017,7587.889592,conspecific,FO2016013-FO2017003
Fogo,FO2016013,2017,6971.393249,conspecific,FO2016013-FO2016015
Fogo,FO2016013,2017,7162.945602,conspecific,FO2016013-FO2017007
Fogo,FO2016013,2017,17309.77187,conspecific,FO2016013-FO2017004
Fogo,FO2016013,2017,7113.283463,conspecific,FO2016013-FO2017009
Fogo,FO2016013,2017,19918.53806,conspecific,FO2016013-FO2017014
Fogo,FO2016013,2017,9987.149883,conspecific,FO2016013-FO2017006
Fogo,FO2016013,2017,21301.45335,conspecific,FO2016013-FO2017001
Fogo,FO2016013,2017,22004.77095,conspecific,FO2016013-FO2017013
Fogo,FO2016013,2017,21700.15145,conspecific,FO2016013-FO2017012
Fogo,FO2016013,2017,9236.594566,conspecific,FO2016013-FO2017008
Fogo,FO2016014,2017,8257.326974,conspecific,FO2016014-FO2017011
Fogo,FO2016014,2017,4247.02532,conspecific,FO2016014-FO2017003
Fogo,FO2016014,2017,4543.043629,conspecific,FO2016014-FO2016015
Fogo,FO2016014,2017,4002.762737,conspecific,FO2016014-FO2017007
