calved,calving_date,lost,Herd,id,season,season_yr,dist_to_last_yr,mean_diff_dist,mean_ln_dist,prop_forest
TRUE,2009-05-29,FALSE,Lapoile,sc2007067,calving,2009,25877.81679,29817.4634,1.067615167,0.180829757
TRUE,2010-05-29,TRUE,Lapoile,sc2007067,calving,2010,68978.65507,34039.18924,0.891280636,0.539845758
TRUE,2011-06-04,TRUE,Lapoile,sc2007067,calving,2011,51428.78687,37142.95327,2.040490998,0.385386819
TRUE,2012-05-26,FALSE,Lapoile,sc2007067,calving,2012,5262.936636,3019.876278,0.552614984,0.11219233
TRUE,2008-06-04,TRUE,Lapoile,sc2007073,calving,2008,1156.141941,30019.25567,0.907869161,0.36037844
TRUE,2009-06-03,TRUE,Lapoile,sc2007073,calving,2009,37591.14532,29480.0584,0.744617966,0.452176403
TRUE,2010-05-28,TRUE,Lapoile,sc2007073,calving,2010,10114.77082,19191.05348,0.655047062,0.75486827
TRUE,2008-06-01,TRUE,Lapoile,sc2007074,calving,2008,40776.9226,36361.00658,1.134456406,0.060406527
TRUE,2009-06-01,TRUE,Lapoile,sc2007074,calving,2009,6151.03879,17218.14136,0.616148761,0.222986529
TRUE,2010-05-31,TRUE,Lapoile,sc2007074,calving,2010,26397.31209,24333.27902,0.81261672,0.117344018
TRUE,2011-05-22,FALSE,Lapoile,sc2007074,calving,2011,44322.46241,19101.33327,1.252771721,0.053352354
TRUE,2012-05-28,TRUE,Lapoile,sc2007074,calving,2012,5038.403973,13463.02593,1.378689262,0.218400688
TRUE,2008-06-04,TRUE,Lapoile,sc2007077,calving,2008,8865.668279,38847.05391,0.940204528,0.158256881
TRUE,2008-05-29,TRUE,Lapoile,sc2007079,calving,2008,17886.79621,32205.13838,0.961891478,0.864981327
TRUE,2009-05-25,FALSE,Lapoile,sc2007079,calving,2009,3729.724095,24860.09518,1.426229835,0.607235142
TRUE,2010-06-02,TRUE,Lapoile,sc2007079,calving,2010,11574.88143,23342.66029,1.320565263,0.18794835
TRUE,2008-05-28,FALSE,Lapoile,sc2007085,calving,2008,97506.17685,65860.10301,1.896919302,0.095784342
TRUE,2009-05-22,FALSE,Lapoile,sc2007085,calving,2009,134851.1837,124137.9331,2.856942223,0.324052813
TRUE,2010-05-22,FALSE,Lapoile,sc2007085,calving,2010,118488.6204,113762.2186,2.696151212,0.189506881
TRUE,2008-05-21,FALSE,Lapoile,sc2007086,calving,2008,18361.96301,33046.29202,0.998294024,0.357511468
TRUE,2009-05-22,FALSE,Lapoile,sc2007086,calving,2009,23005.28817,24337.29761,1.087494567,0.187213303
TRUE,2010-05-22,FALSE,Lapoile,sc2007086,calving,2010,16944.16647,20423.90019,1.015366523,0.03272101
TRUE,2010-05-22,FALSE,Lapoile,sc2009001,calving,2010,12436.06316,20238.48388,1.090569584,0.220309811
TRUE,2011-05-26,FALSE,Lapoile,sc2009001,calving,2011,15645.79469,8283.146883,0.803035838,0.293543759
TRUE,2012-05-30,TRUE,Lapoile,sc2009001,calving,2012,11559.58054,3022.540319,0.300920291,0.107357572
TRUE,2010-05-30,TRUE,Lapoile,sc2009006,calving,2010,2056.940548,18199.93796,0.431715479,0.346307956
TRUE,2010-05-24,FALSE,Midridge,mr2009a02,calving,2010,19408.02145,20221.54621,0.96559754,0.241695304
TRUE,2011-05-30,FALSE,Midridge,mr2009a02,calving,2011,8263.05945,8253.993855,0.624029603,0.057962697
TRUE,2012-05-29,TRUE,Midridge,mr2009a02,calving,2012,5006.421091,9522.20977,1.048715472,0.20206659
TRUE,2010-05-22,FALSE,Midridge,mr2009a03,calving,2010,340.8420686,4650.988487,0.360008048,0.138769671
TRUE,2011-06-04,TRUE,Midridge,mr2009a03,calving,2011,269.5344859,9749.970815,0.705823589,0.159770115
TRUE,2012-06-07,TRUE,Midridge,mr2009a03,calving,2012,7785.997336,4442.083045,0.250180129,0.677178899
TRUE,2013-05-22,FALSE,Midridge,mr2009a03,calving,2013,7483.11766,5734.828762,0.226047892,0.182391741
TRUE,2010-05-22,FALSE,Midridge,mr2009a04,calving,2010,9604.165121,5283.322811,0.417218514,0.092029817
TRUE,2010-05-22,FALSE,Midridge,mr2009a06,calving,2010,8928.439749,5894.068063,0.520188957,0.149009475
TRUE,2011-05-22,FALSE,Midridge,mr2009a06,calving,2011,4778.554096,6157.862504,0.494342733,0.476654254
TRUE,2012-05-21,FALSE,Midridge,mr2009a06,calving,2012,7132.40898,10396.98539,0.83707024,0.172591743
TRUE,2013-05-25,FALSE,Midridge,mr2009a06,calving,2013,7960.570381,8063.349395,0.805294829,0.197880871
