Herd,season_yr,season,ID1,ID2,distance,dyadID
Fogo,2016,calving,FO2016014,FO2016007,15981.77069,FO2016007-FO2016014
Fogo,2016,calving,FO2016014,FO2016008,3749.084262,FO2016008-FO2016014
Fogo,2016,calving,FO2016014,FO2016011,18628.61092,FO2016011-FO2016014
Fogo,2016,calving,FO2016014,FO2016005,12176.35103,FO2016005-FO2016014
Fogo,2016,calving,FO2016014,FO2016009,9368.81911,FO2016009-FO2016014
Fogo,2016,calving,FO2016014,FO2016010,13517.69398,FO2016010-FO2016014
Fogo,2016,calving,FO2016014,FO2016003,18323.20091,FO2016003-FO2016014
Fogo,2016,calving,FO2016014,FO2016013,13077.97775,FO2016013-FO2016014
Fogo,2016,calving,FO2016014,FO2016001,24855.73188,FO2016001-FO2016014
Fogo,2016,calving,FO2016014,FO2016012,993.8462149,FO2016012-FO2016014
Fogo,2016,calving,FO2016014,FO2016002,10309.4908,FO2016002-FO2016014
Fogo,2016,calving,FO2016015,FO2016014,6823.007371,FO2016014-FO2016015
Fogo,2016,calving,FO2016015,FO2016004,12504.75396,FO2016004-FO2016015
Fogo,2016,calving,FO2016015,FO2016007,15114.17641,FO2016007-FO2016015
Fogo,2016,calving,FO2016015,FO2016008,4359.307862,FO2016008-FO2016015
Fogo,2016,calving,FO2016015,FO2016011,19118.20269,FO2016011-FO2016015
Fogo,2016,calving,FO2016015,FO2016005,8604.680884,FO2016005-FO2016015
Fogo,2016,calving,FO2016015,FO2016009,3229.916901,FO2016009-FO2016015
Fogo,2016,calving,FO2016015,FO2016010,6702.348834,FO2016010-FO2016015
Fogo,2016,calving,FO2016015,FO2016003,13270.63447,FO2016003-FO2016015
Fogo,2016,calving,FO2016015,FO2016013,10108.31651,FO2016013-FO2016015
Fogo,2016,calving,FO2016015,FO2016001,24764.29831,FO2016001-FO2016015
Fogo,2016,calving,FO2016015,FO2016012,6251.592767,FO2016012-FO2016015
Fogo,2016,calving,FO2016015,FO2016002,4328.727403,FO2016002-FO2016015
Fogo,2017,calving,FO2016002,FO2016014,4796.930432,FO2016002-FO2016014
Fogo,2017,calving,FO2016002,FO2017011,3474.019804,FO2016002-FO2017011
Fogo,2017,calving,FO2016002,FO2017003,7350.420102,FO2016002-FO2017003
Fogo,2017,calving,FO2016002,FO2016015,317.4028977,FO2016002-FO2016015
Fogo,2017,calving,FO2016002,FO2016004,12401.97511,FO2016002-FO2016004
Fogo,2017,calving,FO2016002,FO2017007,7487.668376,FO2016002-FO2017007
Fogo,2017,calving,FO2016002,FO2017004,14476.1921,FO2016002-FO2017004
Fogo,2017,calving,FO2016002,FO2016008,2700.148098,FO2016002-FO2016008
Fogo,2017,calving,FO2016002,FO2017009,23.01197235,FO2016002-FO2017009
Fogo,2017,calving,FO2016002,FO2017014,15031.66324,FO2016002-FO2017014
Fogo,2017,calving,FO2016002,FO2017006,6493.048282,FO2016002-FO2017006
Fogo,2017,calving,FO2016002,FO2017001,17559.95739,FO2016002-FO2017001
Fogo,2017,calving,FO2016002,FO2016005,7157.669372,FO2016002-FO2016005
Fogo,2017,calving,FO2016002,FO2017013,20645.34007,FO2016002-FO2017013
Fogo,2017,calving,FO2016002,FO2016010,4849.813454,FO2016002-FO2016010
Fogo,2017,calving,FO2016002,FO2016003,13106.96723,FO2016002-FO2016003
Fogo,2017,calving,FO2016002,FO2016013,7095.163991,FO2016002-FO2016013
Fogo,2017,calving,FO2016002,FO2017012,16385.13881,FO2016002-FO2017012
Fogo,2017,calving,FO2016002,FO2017008,9569.592291,FO2016002-FO2017008
Fogo,2017,calving,FO2016002,FO2016012,6915.024095,FO2016002-FO2016012
Fogo,2017,calving,FO2016003,FO2016014,15513.75141,FO2016003-FO2016014
Fogo,2017,calving,FO2016003,FO2017011,12676.873,FO2016003-FO2017011
Fogo,2017,calving,FO2016003,FO2017003,13651.97845,FO2016003-FO2017003
Fogo,2017,calving,FO2016003,FO2016015,13032.02824,FO2016003-FO2016015
Fogo,2017,calving,FO2016003,FO2016004,1544.134431,FO2016003-FO2016004
Fogo,2017,calving,FO2016003,FO2017007,14252.97984,FO2016003-FO2017007
Fogo,2017,calving,FO2016003,FO2017004,9606.458855,FO2016003-FO2017004
Fogo,2017,calving,FO2016003,FO2016008,10612.34934,FO2016003-FO2016008
Fogo,2017,calving,FO2016003,FO2017009,13083.9557,FO2016003-FO2017009
Fogo,2017,calving,FO2016003,FO2017014,4606.89611,FO2016003-FO2017014
Fogo,2017,calving,FO2016003,FO2017006,9895.53856,FO2016003-FO2017006
Fogo,2017,calving,FO2016003,FO2017001,8829.368734,FO2016003-FO2017001
Fogo,2017,calving,FO2016003,FO2016005,7420.474393,FO2016003-FO2016005
Fogo,2017,calving,FO2016003,FO2017013,15824.70595,FO2016003-FO2017013
Fogo,2017,calving,FO2016003,FO2016010,12531.0831,FO2016003-FO2016010
Fogo,2017,calving,FO2016003,FO2016013,19176.99065,FO2016003-FO2016013
Fogo,2017,calving,FO2016003,FO2017012,4264.774411,FO2016003-FO2017012
Fogo,2017,calving,FO2016003,FO2017008,14261.44818,FO2016003-FO2017008
Fogo,2017,calving,FO2016003,FO2016012,15345.26067,FO2016003-FO2016012
Fogo,2017,calving,FO2016003,FO2016002,13106.96723,FO2016002-FO2016003
Fogo,2017,calving,FO2016004,FO2016014,15228.04293,FO2016004-FO2016014
Fogo,2017,calving,FO2016004,FO2017011,11624.35515,FO2016004-FO2017011
Fogo,2017,calving,FO2016004,FO2017003,13781.60593,FO2016004-FO2017003
Fogo,2017,calving,FO2016004,FO2016015,12360.9456,FO2016004-FO2016015
Fogo,2017,calving,FO2016004,FO2017007,14368.46758,FO2016004-FO2017007
Fogo,2017,calving,FO2016004,FO2017004,10791.96293,FO2016004-FO2017004
Fogo,2017,calving,FO2016004,FO2016008,9803.021677,FO2016004-FO2016008
Fogo,2017,calving,FO2016004,FO2017009,12379.08211,FO2016004-FO2017009
Fogo,2017,calving,FO2016004,FO2017014,6114.664579,FO2016004-FO2017014
Fogo,2017,calving,FO2016004,FO2017006,9974.704706,FO2016004-FO2017006
Fogo,2017,calving,FO2016004,FO2017001,10325.31699,FO2016004-FO2017001
Fogo,2017,calving,FO2016004,FO2016005,7453.26352,FO2016004-FO2016005
Fogo,2017,calving,FO2016004,FO2017013,17183.5655,FO2016004-FO2017013
Fogo,2017,calving,FO2016004,FO2016010,11356.56725,FO2016004-FO2016010
Fogo,2017,calving,FO2016004,FO2016003,1544.134431,FO2016003-FO2016004
Fogo,2017,calving,FO2016004,FO2016013,18786.17199,FO2016004-FO2016013
Fogo,2017,calving,FO2016004,FO2017012,5773.260453,FO2016004-FO2017012
Fogo,2017,calving,FO2016004,FO2017008,14620.52118,FO2016004-FO2017008
Fogo,2017,calving,FO2016004,FO2016012,15327.65089,FO2016004-FO2016012
Fogo,2017,calving,FO2016004,FO2016002,12401.97511,FO2016002-FO2016004
Fogo,2017,calving,FO2016005,FO2016014,8256.486563,FO2016005-FO2016014
Fogo,2017,calving,FO2016005,FO2017011,8568.435917,FO2016005-FO2017011
Fogo,2017,calving,FO2016005,FO2017003,6330.15127,FO2016005-FO2017003
Fogo,2017,calving,FO2016005,FO2016015,6954.417953,FO2016005-FO2016015
Fogo,2017,calving,FO2016005,FO2016004,7453.26352,FO2016004-FO2016005
Fogo,2017,calving,FO2016005,FO2017007,6915.297637,FO2016005-FO2017007
Fogo,2017,calving,FO2016005,FO2017004,7722.631297,FO2016005-FO2017004
Fogo,2017,calving,FO2016005,FO2016008,5653.3434,FO2016005-FO2016008
Fogo,2017,calving,FO2016005,FO2017009,7137.140993,FO2016005-FO2017009
Fogo,2017,calving,FO2016005,FO2017014,8052.36806,FO2016005-FO2017014
Fogo,2017,calving,FO2016005,FO2017006,2521.645434,FO2016005-FO2017006
Fogo,2017,calving,FO2016005,FO2017001,10415.06957,FO2016005-FO2017001
Fogo,2017,calving,FO2016005,FO2017013,14372.53208,FO2016005-FO2017013
Fogo,2017,calving,FO2016005,FO2016010,9249.102109,FO2016005-FO2016010
Fogo,2017,calving,FO2016005,FO2016003,7420.474393,FO2016003-FO2016005
Fogo,2017,calving,FO2016005,FO2016013,12024.906,FO2016005-FO2016013
Fogo,2017,calving,FO2016005,FO2017012,9695.131034,FO2016005-FO2017012
Fogo,2017,calving,FO2016005,FO2017008,7361.943153,FO2016005-FO2017008
Fogo,2017,calving,FO2016005,FO2016012,7927.986698,FO2016005-FO2016012
Fogo,2017,calving,FO2016005,FO2016002,7157.669372,FO2016002-FO2016005
Fogo,2017,calving,FO2016008,FO2016014,6890.008627,FO2016008-FO2016014
Fogo,2017,calving,FO2016008,FO2017011,2939.094103,FO2016008-FO2017011
Fogo,2017,calving,FO2016008,FO2017003,8188.746197,FO2016008-FO2017003
Fogo,2017,calving,FO2016008,FO2016015,2750.355717,FO2016008-FO2016015
Fogo,2017,calving,FO2016008,FO2016004,9803.021677,FO2016004-FO2016008
Fogo,2017,calving,FO2016008,FO2017007,8507.3916,FO2016008-FO2017007
Fogo,2017,calving,FO2016008,FO2017004,13355.079,FO2016008-FO2017004
Fogo,2017,calving,FO2016008,FO2017009,2678.503496,FO2016008-FO2017009
Fogo,2017,calving,FO2016008,FO2017014,12986.28441,FO2016008-FO2017014
Fogo,2017,calving,FO2016008,FO2017006,5985.935258,FO2016008-FO2017006
Fogo,2017,calving,FO2016008,FO2017001,15928.40769,FO2016008-FO2017001
Fogo,2017,calving,FO2016008,FO2016005,5653.3434,FO2016005-FO2016008
Fogo,2017,calving,FO2016008,FO2017013,19891.69711,FO2016008-FO2017013
Fogo,2017,calving,FO2016008,FO2016010,3848.930096,FO2016008-FO2016010
Fogo,2017,calving,FO2016008,FO2016003,10612.34934,FO2016003-FO2016008
Fogo,2017,calving,FO2016008,FO2016013,9695.383361,FO2016008-FO2016013
Fogo,2017,calving,FO2016008,FO2017012,14133.67674,FO2016008-FO2017012
Fogo,2017,calving,FO2016008,FO2017008,10223.88363,FO2016008-FO2017008
Fogo,2017,calving,FO2016008,FO2016012,8424.647151,FO2016008-FO2016012
Fogo,2017,calving,FO2016008,FO2016002,2700.148098,FO2016002-FO2016008
Fogo,2017,calving,FO2016010,FO2016014,9641.244754,FO2016010-FO2016014
Fogo,2017,calving,FO2016010,FO2017011,1390.27894,FO2016010-FO2017011
Fogo,2017,calving,FO2016010,FO2017003,11819.51522,FO2016010-FO2017003
Fogo,2017,calving,FO2016010,FO2016015,5122.143013,FO2016010-FO2016015
Fogo,2017,calving,FO2016010,FO2016004,11356.56725,FO2016004-FO2016010
Fogo,2017,calving,FO2016010,FO2017007,12063.89416,FO2016010-FO2017007
Fogo,2017,calving,FO2016010,FO2017004,16959.26713,FO2016010-FO2017004
Fogo,2017,calving,FO2016010,FO2016008,3848.930096,FO2016008-FO2016010
Fogo,2017,calving,FO2016010,FO2017009,4842.797756,FO2016010-FO2017009
Fogo,2017,calving,FO2016010,FO2017014,15764.26619,FO2016010-FO2017014
Fogo,2017,calving,FO2016010,FO2017006,9833.140131,FO2016010-FO2017006
Fogo,2017,calving,FO2016010,FO2017001,19132.76364,FO2016010-FO2017001
Fogo,2017,calving,FO2016010,FO2016005,9249.102109,FO2016005-FO2016010
Fogo,2017,calving,FO2016010,FO2017013,23608.88626,FO2016010-FO2017013
Fogo,2017,calving,FO2016010,FO2016003,12531.0831,FO2016003-FO2016010
Fogo,2017,calving,FO2016010,FO2016013,11441.72896,FO2016010-FO2016013
Fogo,2017,calving,FO2016010,FO2017012,16524.25743,FO2016010-FO2017012
Fogo,2017,calving,FO2016010,FO2017008,13941.28386,FO2016010-FO2017008
Fogo,2017,calving,FO2016010,FO2016012,11697.02145,FO2016010-FO2016012
